Sektor Ekonomi,Bulan,Nilai Kredit,Jenis Kredit
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Desember,6868.0,Rupiah
Jasa Pendidikan,Desember,1769761.0,Rupiah
Jasa Kesehatan dan Kegiatan Lainnya,Desember,3867223.0,Rupiah
Jasa Lainnya,Desember,5017013.0,Rupiah
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Desember,0.0,Rupiah
JUMLAH,Desember,185273176.0,Rupiah
Pinjaman Berdasarkan Lapangan Usaha,Januari,4374316.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Januari,2465987.0,Valuta Asing
Pertambangan dan Penggalian,Januari,9611992.0,Valuta Asing
Industri Pengolahan,Januari,109390.0,Valuta Asing
Pengadaan Listrik dan Gas,Januari,9591265.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Januari,53502.0,Valuta Asing
Konstruksi,Januari,287108.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Januari,982589.0,Valuta Asing
Transportasi dan Pergudangan,Januari,5489093.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Januari,723064.0,Valuta Asing
Informasi dan Komunikasi,Januari,928328.0,Valuta Asing
Jasa Keuangan dan Asuransi,Januari,353426.0,Valuta Asing
Real Estate,Januari,913062.0,Valuta Asing
Jasa Perusahaan,Januari,961326.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Januari,767.0,Valuta Asing
Jasa Pendidikan,Januari,1929.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Januari,50163.0,Valuta Asing
Jasa Lainnya,Januari,390555.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Januari,0.0,Valuta Asing
JUMLAH,Januari,4374316.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Februari,4497419.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Februari,2504335.0,Valuta Asing
Pertambangan dan Penggalian,Februari,9565297.0,Valuta Asing
Industri Pengolahan,Februari,1178929.0,Valuta Asing
Pengadaan Listrik dan Gas,Februari,9836344.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Februari,48982.0,Valuta Asing
Konstruksi,Februari,290336.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Februari,989481.0,Valuta Asing
Transportasi dan Pergudangan,Februari,5619997.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Februari,732401.0,Valuta Asing
Informasi dan Komunikasi,Februari,927392.0,Valuta Asing
Jasa Keuangan dan Asuransi,Februari,35007.0,Valuta Asing
Real Estate,Februari,927572.0,Valuta Asing
Jasa Perusahaan,Februari,944522.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Februari,758.0,Valuta Asing
Jasa Pendidikan,Februari,1941.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Februari,50889.0,Valuta Asing
Jasa Lainnya,Februari,394589.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Februari,0.0,Valuta Asing
JUMLAH,Februari,4497419.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,Maret,4517615.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",Maret,2458459.0,Valuta Asing
Pertambangan dan Penggalian,Maret,9884165.0,Valuta Asing
Industri Pengolahan,Maret,1182742.0,Valuta Asing
Pengadaan Listrik dan Gas,Maret,9832698.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Maret,48922.0,Valuta Asing
Konstruksi,Maret,282198.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",Maret,1001291.0,Valuta Asing
Transportasi dan Pergudangan,Maret,5615593.0,Valuta Asing
Penyediaan Akomodasi dan Makan Minum,Maret,712398.0,Valuta Asing
Informasi dan Komunikasi,Maret,914044.0,Valuta Asing
Jasa Keuangan dan Asuransi,Maret,303412.0,Valuta Asing
Real Estate,Maret,924483.0,Valuta Asing
Jasa Perusahaan,Maret,944088.0,Valuta Asing
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Maret,932.0,Valuta Asing
Jasa Pendidikan,Maret,1916.0,Valuta Asing
Jasa Kesehatan dan Kegiatan Lainnya,Maret,5047.0,Valuta Asing
Jasa Lainnya,Maret,373663.0,Valuta Asing
Pinjaman Kepada Bukan Lapangan Usaha (Konsumsi Rumah Tangga),Maret,0.0,Valuta Asing
JUMLAH,Maret,4517615.0,Valuta Asing
Pinjaman Berdasarkan Lapangan Usaha,April,47395753.0,Valuta Asing
"Pertanian, Kehutanan dan Perikanan",April,2454881.0,Valuta Asing
Pertambangan dan Penggalian,April,10645722.0,Valuta Asing
Industri Pengolahan,April,12091995.0,Valuta Asing
Pengadaan Listrik dan Gas,April,9884412.0,Valuta Asing
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",April,49037.0,Valuta Asing
Konstruksi,April,363529.0,Valuta Asing
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Motor",April,969782.0,Valuta Asing
Transportasi dan Pergudangan,April,666859.0,Valuta Asing
